date,montant,categorie,marchand
2025-05-25,27.92,Restos & cafés,La Pizza Cosy
2025-05-25,20.77,Restos & cafés,Boulangerie Lhuillier
2025-05-26,43.77,Santé & sport,Nutripure
2025-05-27,20.92,Restos & cafés,Uber Eats
2025-05-28,3.98,Tech & outils dev,Anthropic API
2025-06-01,3.50,Transport,Vélociti Tours
2025-06-01,24.53,Espace & astronomie,Observatoire de Tours
2025-06-02,29.99,Santé & sport,Basic-Fit Premium
2025-06-03,720.00,Logement & factures,Loyer studio Tours
2025-06-03,7.75,Restos & cafés,La Pizza Cosy
2025-06-05,24.19,Restos & cafés,Boulangerie Lhuillier
2025-06-05,19.00,Tech & outils dev,Claude Pro
2025-06-06,17.99,Loisirs & divers,Spotify Famille
2025-06-07,33.86,Transport,Péages Vinci Autoroutes
2025-06-07,22.00,Tech & outils dev,ChatGPT Plus
2025-06-07,3.97,Finance,Trade Republic ordre
2025-06-08,29.99,Logement & factures,Free Box Pop
2025-06-08,15.99,Logement & factures,Free Mobile
2025-06-08,26.60,Restos & cafés,La Souris Gourmande
2025-06-08,40.46,Tech & outils dev,Apple Store accessoires
2025-06-08,59.05,Santé & sport,Pharmacie centrale
2025-06-09,7.99,Santé & sport,Strava Premium
2025-06-09,5.53,Finance,Bourse Direct ordre
2025-06-10,52.04,Courses,Lidl
2025-06-10,10.00,Tech & outils dev,GitHub Copilot Pro
2025-06-11,8.00,Finance,Substack The Macro Compass
2025-06-12,20.00,Tech & outils dev,Cursor Pro
2025-06-12,67.57,Loisirs & divers,Uniqlo
2025-06-13,14.99,Loisirs & divers,Netflix Standard
2025-06-13,54.86,Loisirs & divers,AirBnB weekend
2025-06-14,13.99,Espace & astronomie,Stellarium Mobile Plus
2025-06-14,20.00,Tech & outils dev,Vercel Pro
2025-06-15,62.69,Logement & factures,EDF
2025-06-15,58.94,Courses,Carrefour Tours
2025-06-15,78.07,Loisirs & divers,FNAC
2025-06-17,44.73,Courses,Biocoop
2025-06-17,68.36,Courses,Picard
2025-06-17,28.57,Restos & cafés,Café Méo
2025-06-17,6.99,Espace & astronomie,Nebula
2025-06-18,63.17,Courses,Biocoop
2025-06-18,14.46,Transport,Total Énergies
2025-06-18,10.00,Tech & outils dev,Notion Plus
2025-06-19,5.99,Espace & astronomie,Curiosity Stream
2025-06-19,0.50,Finance,Trade Republic ordre
2025-06-20,29.56,Restos & cafés,Boulangerie Lhuillier
2025-06-21,55.27,Courses,Lidl
2025-06-21,74.91,Tech & outils dev,Amazon hardware
2025-06-21,9.99,Loisirs & divers,Kindle Unlimited
2025-06-21,61.23,Loisirs & divers,Cinéma CGR Tours
2025-06-22,8.25,Transport,Bolt
2025-06-22,15.00,Tech & outils dev,Figma Pro
2025-06-23,56.20,Santé & sport,Decathlon Tours
2025-06-24,2.99,Tech & outils dev,iCloud 200 Go
2025-06-25,42.57,Transport,Parking Centre Tours
2025-06-26,75.12,Loisirs & divers,Uniqlo
2025-06-27,18.54,Restos & cafés,La Pizza Cosy
2025-06-27,17.62,Restos & cafés,La Souris Gourmande
2025-06-28,14.77,Tech & outils dev,Anthropic API
2025-07-01,3.50,Transport,Vélociti Tours
2025-07-01,115.28,Loisirs & divers,Uniqlo
2025-07-02,51.36,Courses,Biocoop
2025-07-02,27.55,Transport,Hertz location
2025-07-02,29.99,Santé & sport,Basic-Fit Premium
2025-07-03,720.00,Logement & factures,Loyer studio Tours
2025-07-03,70.96,Courses,Lidl
2025-07-03,43.97,Transport,Péages Vinci Autoroutes
2025-07-03,51.39,Loisirs & divers,COS
2025-07-04,16.85,Espace & astronomie,Librairie des Sciences
2025-07-05,13.99,Restos & cafés,Le Café Leffe
2025-07-05,19.00,Tech & outils dev,Claude Pro
2025-07-06,8.08,Restos & cafés,Boulangerie Lhuillier
2025-07-06,17.99,Loisirs & divers,Spotify Famille
2025-07-07,66.46,Courses,Lidl
2025-07-07,10.96,Restos & cafés,Brasserie de l'Univers
2025-07-07,22.00,Tech & outils dev,ChatGPT Plus
2025-07-08,29.99,Logement & factures,Free Box Pop
2025-07-08,15.99,Logement & factures,Free Mobile
2025-07-08,22.09,Restos & cafés,Le Café Leffe
2025-07-08,7.94,Finance,Trade Republic ordre
2025-07-09,7.99,Santé & sport,Strava Premium
2025-07-10,10.00,Tech & outils dev,GitHub Copilot Pro
2025-07-11,8.00,Finance,Substack The Macro Compass
2025-07-12,20.00,Tech & outils dev,Cursor Pro
2025-07-13,18.29,Restos & cafés,Boulangerie Lhuillier
2025-07-13,14.99,Loisirs & divers,Netflix Standard
2025-07-14,11.08,Restos & cafés,Uber Eats
2025-07-14,20.00,Tech & outils dev,Vercel Pro
2025-07-15,845.64,Loisirs & divers,Voyage été (TGV + AirBnB)
2025-07-15,67.40,Courses,Carrefour Tours
2025-07-15,8.17,Finance,Trade Republic ordre
2025-07-16,24.83,Restos & cafés,Starbucks Tours
2025-07-17,6.99,Espace & astronomie,Nebula
2025-07-18,10.00,Tech & outils dev,Notion Plus
2025-07-19,56.83,Transport,Bolt
2025-07-19,5.99,Espace & astronomie,Curiosity Stream
2025-07-20,36.17,Logement & factures,Veolia eau
2025-07-20,36.08,Santé & sport,Pharmacie centrale
2025-07-21,9.99,Loisirs & divers,Kindle Unlimited
2025-07-22,15.00,Tech & outils dev,Figma Pro
2025-07-22,8.00,Santé & sport,Decathlon Tours
2025-07-22,4.00,Finance,Bourse Direct ordre
2025-07-24,8.78,Restos & cafés,Brasserie de l'Univers
2025-07-24,13.72,Restos & cafés,Boulangerie Lhuillier
2025-07-24,2.99,Tech & outils dev,iCloud 200 Go
2025-07-27,24.67,Restos & cafés,La Souris Gourmande
2025-07-28,10.10,Tech & outils dev,Anthropic API
2025-08-01,3.50,Transport,Vélociti Tours
2025-08-02,41.30,Transport,Total Énergies
2025-08-02,29.99,Santé & sport,Basic-Fit Premium
2025-08-03,720.00,Logement & factures,Loyer studio Tours
2025-08-03,61.78,Courses,Marché des Halles
2025-08-03,39.07,Transport,Péages Vinci Autoroutes
2025-08-05,23.97,Restos & cafés,Boulangerie Lhuillier
2025-08-05,11.21,Restos & cafés,Boulangerie Lhuillier
2025-08-05,19.00,Tech & outils dev,Claude Pro
2025-08-06,17.99,Loisirs & divers,Spotify Famille
2025-08-07,22.00,Tech & outils dev,ChatGPT Plus
2025-08-07,37.55,Santé & sport,Doctolib consultation
2025-08-08,29.99,Logement & factures,Free Box Pop
2025-08-08,15.99,Logement & factures,Free Mobile
2025-08-08,8.51,Santé & sport,Cabinet ostéopathe
2025-08-09,13.30,Transport,Total Énergies
2025-08-09,7.99,Santé & sport,Strava Premium
2025-08-10,67.21,Courses,Biocoop
2025-08-10,63.00,Courses,Picard
2025-08-10,10.00,Tech & outils dev,GitHub Copilot Pro
2025-08-11,8.00,Finance,Substack The Macro Compass
2025-08-12,49.26,Courses,Carrefour Tours
2025-08-12,20.00,Tech & outils dev,Cursor Pro
2025-08-13,14.99,Loisirs & divers,Netflix Standard
2025-08-13,63.19,Loisirs & divers,FNAC
2025-08-14,20.00,Tech & outils dev,Vercel Pro
2025-08-14,44.88,Santé & sport,Kinésithérapeute
2025-08-14,4.77,Finance,Trade Republic ordre
2025-08-14,2.31,Finance,Fnac livre finance
2025-08-15,58.80,Logement & factures,EDF
2025-08-15,35.81,Transport,Bolt
2025-08-16,18.49,Restos & cafés,Boulangerie Lhuillier
2025-08-17,6.99,Espace & astronomie,Nebula
2025-08-18,10.00,Tech & outils dev,Notion Plus
2025-08-18,68.45,Tech & outils dev,Apple Store accessoires
2025-08-18,32.04,Santé & sport,Dentiste Dr Martin
2025-08-19,5.99,Espace & astronomie,Curiosity Stream
2025-08-20,12.38,Restos & cafés,Le Café Leffe
2025-08-21,16.03,Restos & cafés,Starbucks Tours
2025-08-21,9.99,Loisirs & divers,Kindle Unlimited
2025-08-22,15.00,Tech & outils dev,Figma Pro
2025-08-23,6.15,Transport,Péages Vinci Autoroutes
2025-08-24,2.99,Tech & outils dev,iCloud 200 Go
2025-08-26,82.25,Courses,Biocoop
2025-08-26,68.87,Tech & outils dev,OVH domaine .fr
2025-08-28,24.00,Restos & cafés,Boulangerie Lhuillier
2025-08-28,5.25,Tech & outils dev,Anthropic API
2025-08-28,5.02,Finance,Fnac livre finance
2025-08-28,65.25,Loisirs & divers,Uniqlo
2025-09-01,3.50,Transport,Vélociti Tours
2025-09-02,29.99,Santé & sport,Basic-Fit Premium
2025-09-03,720.00,Logement & factures,Loyer studio Tours
2025-09-03,59.13,Courses,Picard
2025-09-03,45.83,Tech & outils dev,Amazon hardware
2025-09-05,19.00,Tech & outils dev,Claude Pro
2025-09-05,45.59,Santé & sport,Pharmacie centrale
2025-09-05,10.00,Finance,Bourse Direct ordre
2025-09-06,17.99,Loisirs & divers,Spotify Famille
2025-09-06,40.59,Loisirs & divers,AirBnB weekend
2025-09-07,24.83,Restos & cafés,Boulangerie Lhuillier
2025-09-07,16.96,Transport,SNCF Connect
2025-09-07,22.00,Tech & outils dev,ChatGPT Plus
2025-09-08,29.99,Logement & factures,Free Box Pop
2025-09-08,15.99,Logement & factures,Free Mobile
2025-09-08,70.42,Santé & sport,Cabinet ostéopathe
2025-09-08,59.35,Loisirs & divers,Decathlon vêtements
2025-09-09,18.94,Restos & cafés,Le Café Leffe
2025-09-09,12.84,Restos & cafés,La Souris Gourmande
2025-09-09,7.99,Santé & sport,Strava Premium
2025-09-10,85.40,Courses,Marché des Halles
2025-09-10,9.84,Restos & cafés,Starbucks Tours
2025-09-10,24.13,Transport,SNCF Connect
2025-09-10,10.00,Tech & outils dev,GitHub Copilot Pro
2025-09-11,63.07,Courses,Carrefour Tours
2025-09-11,26.66,Transport,Bolt
2025-09-11,8.00,Finance,Substack The Macro Compass
2025-09-12,135.00,Logement & factures,MAIF assurance habitation
2025-09-12,20.00,Tech & outils dev,Cursor Pro
2025-09-13,77.49,Courses,Biocoop
2025-09-13,57.82,Transport,Avia
2025-09-13,14.99,Loisirs & divers,Netflix Standard
2025-09-14,30.75,Transport,SNCF Connect
2025-09-14,20.00,Tech & outils dev,Vercel Pro
2025-09-15,37.79,Santé & sport,Nutripure
2025-09-15,59.02,Loisirs & divers,Cadeau anniv
2025-09-16,42.31,Transport,Parking Centre Tours
2025-09-16,3.56,Finance,Trade Republic ordre
2025-09-17,6.99,Espace & astronomie,Nebula
2025-09-17,11.75,Finance,Trade Republic ordre
2025-09-17,69.21,Loisirs & divers,Uniqlo
2025-09-18,28.09,Restos & cafés,Boulangerie Lhuillier
2025-09-18,10.00,Tech & outils dev,Notion Plus
2025-09-18,90.08,Loisirs & divers,Sephora
2025-09-19,56.06,Transport,Avia
2025-09-19,5.99,Espace & astronomie,Curiosity Stream
2025-09-20,25.81,Restos & cafés,Brasserie de l'Univers
2025-09-20,22.07,Restos & cafés,Boulangerie Lhuillier
2025-09-20,39.64,Loisirs & divers,FNAC
2025-09-21,9.99,Loisirs & divers,Kindle Unlimited
2025-09-22,15.76,Restos & cafés,La Pizza Cosy
2025-09-22,22.52,Restos & cafés,Café Méo
2025-09-22,15.00,Tech & outils dev,Figma Pro
2025-09-22,33.80,Tech & outils dev,Backmarket
2025-09-23,7.11,Restos & cafés,Starbucks Tours
2025-09-24,18.91,Restos & cafés,La Pizza Cosy
2025-09-24,2.99,Tech & outils dev,iCloud 200 Go
2025-09-25,5.17,Finance,Eyrolles livre Bourse
2025-09-25,8.39,Finance,Trade Republic ordre
2025-09-26,14.11,Restos & cafés,Boulangerie Lhuillier
2025-09-27,33.74,Transport,Total Énergies
2025-09-28,69.13,Courses,Carrefour Tours
2025-09-28,20.06,Tech & outils dev,Anthropic API
2025-09-28,63.16,Santé & sport,Doctolib consultation
2025-10-01,3.50,Transport,Vélociti Tours
2025-10-01,32.77,Transport,Péages Vinci Autoroutes
2025-10-02,29.99,Santé & sport,Basic-Fit Premium
2025-10-03,720.00,Logement & factures,Loyer studio Tours
2025-10-05,14.65,Restos & cafés,Le Café Leffe
2025-10-05,19.00,Tech & outils dev,Claude Pro
2025-10-05,39.28,Santé & sport,Cabinet ostéopathe
2025-10-06,37.00,Santé & sport,Pharmacie centrale
2025-10-06,17.99,Loisirs & divers,Spotify Famille
2025-10-07,19.12,Restos & cafés,La Souris Gourmande
2025-10-07,22.00,Tech & outils dev,ChatGPT Plus
2025-10-08,29.99,Logement & factures,Free Box Pop
2025-10-08,15.99,Logement & factures,Free Mobile
2025-10-09,7.99,Santé & sport,Strava Premium
2025-10-10,10.00,Tech & outils dev,GitHub Copilot Pro
2025-10-11,70.54,Courses,Marché des Halles
2025-10-11,52.60,Santé & sport,Nutripure
2025-10-11,8.00,Finance,Substack The Macro Compass
2025-10-12,20.00,Tech & outils dev,Cursor Pro
2025-10-13,22.69,Espace & astronomie,Observatoire de Tours
2025-10-13,60.96,Santé & sport,Pharmacie centrale
2025-10-13,14.99,Loisirs & divers,Netflix Standard
2025-10-14,15.07,Restos & cafés,Boulangerie Lhuillier
2025-10-14,18.07,Transport,Bolt
2025-10-14,20.00,Tech & outils dev,Vercel Pro
2025-10-15,57.41,Logement & factures,EDF
2025-10-15,60.05,Courses,Carrefour Tours
2025-10-16,2.44,Transport,Total Énergies
2025-10-17,6.99,Espace & astronomie,Nebula
2025-10-18,10.00,Tech & outils dev,Notion Plus
2025-10-18,29.80,Espace & astronomie,Eyrolles livre astrophysique
2025-10-19,5.99,Espace & astronomie,Curiosity Stream
2025-10-20,38.49,Logement & factures,Veolia eau
2025-10-20,88.32,Loisirs & divers,Cinéma UGC
2025-10-21,48.71,Courses,Carrefour Tours
2025-10-21,5.00,Finance,Trade Republic ordre
2025-10-21,9.99,Loisirs & divers,Kindle Unlimited
2025-10-22,15.00,Tech & outils dev,Figma Pro
2025-10-24,49.52,Transport,Parking Centre Tours
2025-10-24,2.99,Tech & outils dev,iCloud 200 Go
2025-10-24,7.78,Finance,Trade Republic ordre
2025-10-25,13.36,Restos & cafés,Uber Eats
2025-10-25,6.79,Restos & cafés,Uber Eats
2025-10-25,52.62,Loisirs & divers,Cinéma CGR Tours
2025-10-26,54.73,Transport,SNCF Connect
2025-10-27,63.32,Courses,Biocoop
2025-10-27,17.42,Restos & cafés,Starbucks Tours
2025-10-27,54.59,Transport,SNCF Connect
2025-10-27,39.95,Santé & sport,Pharmacie centrale
2025-10-28,13.00,Tech & outils dev,Anthropic API
2025-11-01,3.50,Transport,Vélociti Tours
2025-11-01,3.42,Finance,Trade Republic ordre
2025-11-02,29.99,Santé & sport,Basic-Fit Premium
2025-11-03,720.00,Logement & factures,Loyer studio Tours
2025-11-03,31.88,Loisirs & divers,Cinéma UGC
2025-11-04,50.60,Courses,Biocoop
2025-11-05,19.00,Tech & outils dev,Claude Pro
2025-11-06,17.99,Loisirs & divers,Spotify Famille
2025-11-07,22.00,Tech & outils dev,ChatGPT Plus
2025-11-08,29.99,Logement & factures,Free Box Pop
2025-11-08,15.99,Logement & factures,Free Mobile
2025-11-08,18.51,Restos & cafés,La Souris Gourmande
2025-11-08,65.41,Loisirs & divers,Cadeau anniv
2025-11-09,69.36,Tech & outils dev,Amazon hardware
2025-11-09,7.99,Santé & sport,Strava Premium
2025-11-09,45.69,Santé & sport,Dentiste Dr Martin
2025-11-10,21.69,Restos & cafés,La Souris Gourmande
2025-11-10,10.00,Tech & outils dev,GitHub Copilot Pro
2025-11-11,8.00,Finance,Substack The Macro Compass
2025-11-11,0.50,Finance,Trade Republic ordre
2025-11-12,47.73,Courses,Carrefour Tours
2025-11-12,51.02,Transport,Avia
2025-11-12,20.00,Tech & outils dev,Cursor Pro
2025-11-12,8.09,Finance,Fnac livre finance
2025-11-13,16.52,Restos & cafés,Boulangerie Lhuillier
2025-11-13,14.99,Loisirs & divers,Netflix Standard
2025-11-14,13.85,Transport,Total Énergies
2025-11-14,20.00,Tech & outils dev,Vercel Pro
2025-11-16,54.90,Courses,Biocoop
2025-11-16,39.45,Transport,Total Énergies
2025-11-17,56.21,Transport,Avia
2025-11-17,34.00,Transport,Hertz location
2025-11-17,6.99,Espace & astronomie,Nebula
2025-11-18,10.00,Tech & outils dev,Notion Plus
2025-11-18,1.49,Finance,Trade Republic ordre
2025-11-19,5.99,Espace & astronomie,Curiosity Stream
2025-11-20,6.39,Restos & cafés,La Pizza Cosy
2025-11-20,62.87,Santé & sport,Decathlon Tours
2025-11-21,9.99,Loisirs & divers,Kindle Unlimited
2025-11-21,48.64,Loisirs & divers,AirBnB weekend
2025-11-22,285.00,Espace & astronomie,Celestron Outland 10x42
2025-11-22,17.76,Restos & cafés,Café Méo
2025-11-22,22.18,Transport,SNCF Connect
2025-11-22,15.00,Tech & outils dev,Figma Pro
2025-11-23,58.98,Courses,Carrefour Tours
2025-11-23,14.87,Restos & cafés,La Pizza Cosy
2025-11-24,2.99,Tech & outils dev,iCloud 200 Go
2025-11-25,21.48,Tech & outils dev,Amazon hardware
2025-11-26,18.03,Restos & cafés,Brasserie de l'Univers
2025-11-28,21.62,Tech & outils dev,Anthropic API
2025-12-01,3.50,Transport,Vélociti Tours
2025-12-02,16.07,Restos & cafés,Uber Eats
2025-12-02,40.13,Transport,Total Énergies
2025-12-02,29.99,Santé & sport,Basic-Fit Premium
2025-12-03,720.00,Logement & factures,Loyer studio Tours
2025-12-03,22.08,Transport,Bolt
2025-12-03,83.14,Tech & outils dev,OVH domaine .fr
2025-12-03,1.15,Finance,Trade Republic ordre
2025-12-04,25.73,Restos & cafés,La Pizza Cosy
2025-12-04,29.40,Transport,Péages Vinci Autoroutes
2025-12-05,19.00,Tech & outils dev,Claude Pro
2025-12-06,17.99,Loisirs & divers,Spotify Famille
2025-12-07,19.48,Restos & cafés,Boulangerie Lhuillier
2025-12-07,22.00,Tech & outils dev,ChatGPT Plus
2025-12-08,29.99,Logement & factures,Free Box Pop
2025-12-08,15.99,Logement & factures,Free Mobile
2025-12-08,62.68,Courses,Lidl
2025-12-08,14.41,Espace & astronomie,La Maison de l'Astronomie
2025-12-08,9.28,Finance,Trade Republic ordre
2025-12-09,64.14,Courses,Lidl
2025-12-09,25.41,Restos & cafés,La Pizza Cosy
2025-12-09,17.60,Restos & cafés,La Souris Gourmande
2025-12-09,7.99,Santé & sport,Strava Premium
2025-12-09,32.24,Loisirs & divers,AirBnB weekend
2025-12-10,10.00,Tech & outils dev,GitHub Copilot Pro
2025-12-10,45.91,Loisirs & divers,Cadeau anniv
2025-12-11,8.00,Finance,Substack The Macro Compass
2025-12-12,78.23,Courses,Lidl
2025-12-12,61.71,Courses,Biocoop
2025-12-12,23.77,Restos & cafés,Le Café Leffe
2025-12-12,20.00,Tech & outils dev,Cursor Pro
2025-12-13,14.99,Loisirs & divers,Netflix Standard
2025-12-14,20.00,Tech & outils dev,Vercel Pro
2025-12-14,29.10,Santé & sport,Nutripure
2025-12-15,62.36,Logement & factures,EDF
2025-12-16,7.49,Finance,Trade Republic ordre
2025-12-17,75.91,Courses,Lidl
2025-12-17,6.99,Espace & astronomie,Nebula
2025-12-18,204.91,Loisirs & divers,Cadeaux de Noël
2025-12-18,10.00,Tech & outils dev,Notion Plus
2025-12-19,22.17,Transport,SNCF Connect
2025-12-19,5.99,Espace & astronomie,Curiosity Stream
2025-12-20,30.91,Espace & astronomie,La Maison de l'Astronomie
2025-12-21,9.99,Loisirs & divers,Kindle Unlimited
2025-12-22,51.32,Transport,Total Énergies
2025-12-22,15.00,Tech & outils dev,Figma Pro
2025-12-22,32.00,Loisirs & divers,Cinéma UGC
2025-12-24,2.99,Tech & outils dev,iCloud 200 Go
2025-12-24,29.87,Santé & sport,Pharmacie centrale
2025-12-25,20.24,Restos & cafés,Uber Eats
2025-12-25,16.48,Restos & cafés,Uber Eats
2025-12-25,50.70,Santé & sport,Pharmacie centrale
2025-12-28,45.75,Transport,Bolt
2025-12-28,16.26,Tech & outils dev,Anthropic API
2025-12-28,68.89,Santé & sport,Decathlon Tours
2026-01-01,14.96,Restos & cafés,Brasserie de l'Univers
2026-01-01,3.50,Transport,Vélociti Tours
2026-01-02,13.15,Restos & cafés,La Pizza Cosy
2026-01-02,29.99,Santé & sport,Basic-Fit Premium
2026-01-03,720.00,Logement & factures,Loyer studio Tours
2026-01-03,65.91,Courses,Carrefour Tours
2026-01-05,19.00,Tech & outils dev,Claude Pro
2026-01-06,17.99,Loisirs & divers,Spotify Famille
2026-01-07,22.00,Tech & outils dev,ChatGPT Plus
2026-01-08,29.99,Logement & factures,Free Box Pop
2026-01-08,15.99,Logement & factures,Free Mobile
2026-01-09,68.17,Courses,Marché des Halles
2026-01-09,9.09,Restos & cafés,Starbucks Tours
2026-01-09,18.09,Restos & cafés,La Souris Gourmande
2026-01-09,7.99,Santé & sport,Strava Premium
2026-01-10,10.00,Tech & outils dev,GitHub Copilot Pro
2026-01-10,6.58,Finance,Trade Republic ordre
2026-01-11,46.78,Transport,SNCF Connect
2026-01-11,21.95,Espace & astronomie,Fnac livre espace
2026-01-11,8.00,Finance,Substack The Macro Compass
2026-01-12,20.00,Tech & outils dev,Cursor Pro
2026-01-13,17.72,Espace & astronomie,Librairie des Sciences
2026-01-13,14.99,Loisirs & divers,Netflix Standard
2026-01-14,62.98,Courses,Carrefour Tours
2026-01-14,20.00,Tech & outils dev,Vercel Pro
2026-01-14,0.84,Finance,Trade Republic ordre
2026-01-15,13.79,Restos & cafés,Le Café Leffe
2026-01-16,7.58,Restos & cafés,Starbucks Tours
2026-01-16,24.79,Transport,Bolt
2026-01-16,4.52,Finance,Bourse Direct ordre
2026-01-17,6.99,Espace & astronomie,Nebula
2026-01-18,10.00,Tech & outils dev,Notion Plus
2026-01-18,40.65,Loisirs & divers,Cinéma CGR Tours
2026-01-19,43.02,Transport,SNCF Connect
2026-01-19,5.99,Espace & astronomie,Curiosity Stream
2026-01-20,33.84,Logement & factures,Veolia eau
2026-01-21,9.99,Loisirs & divers,Kindle Unlimited
2026-01-22,15.00,Tech & outils dev,Figma Pro
2026-01-22,40.64,Santé & sport,Cabinet ostéopathe
2026-01-23,63.14,Tech & outils dev,Amazon hardware
2026-01-23,9.16,Finance,Trade Republic ordre
2026-01-23,56.83,Loisirs & divers,Cinéma UGC
2026-01-24,10.33,Restos & cafés,Boulangerie Lhuillier
2026-01-24,2.99,Tech & outils dev,iCloud 200 Go
2026-01-25,0.50,Santé & sport,Nutripure
2026-01-25,4.83,Finance,Trade Republic ordre
2026-01-27,47.74,Courses,Lidl
2026-01-27,51.60,Transport,Bolt
2026-01-27,59.41,Loisirs & divers,Decathlon vêtements
2026-01-28,25.17,Restos & cafés,Uber Eats
2026-01-28,12.28,Tech & outils dev,Anthropic API
2026-02-01,3.50,Transport,Vélociti Tours
2026-02-02,53.35,Transport,Total Énergies
2026-02-02,29.99,Santé & sport,Basic-Fit Premium
2026-02-03,720.00,Logement & factures,Loyer studio Tours
2026-02-04,34.60,Transport,Péages Vinci Autoroutes
2026-02-04,27.93,Santé & sport,Doctolib consultation
2026-02-05,23.93,Restos & cafés,Café Méo
2026-02-05,13.47,Transport,Bolt
2026-02-05,36.36,Transport,SNCF Connect
2026-02-05,19.00,Tech & outils dev,Claude Pro
2026-02-06,17.99,Loisirs & divers,Spotify Famille
2026-02-06,85.81,Loisirs & divers,Cinéma UGC
2026-02-07,22.00,Tech & outils dev,ChatGPT Plus
2026-02-08,29.99,Logement & factures,Free Box Pop
2026-02-08,15.99,Logement & factures,Free Mobile
2026-02-08,39.35,Santé & sport,Decathlon Tours
2026-02-09,20.06,Restos & cafés,La Pizza Cosy
2026-02-09,7.99,Santé & sport,Strava Premium
2026-02-10,58.94,Courses,Lidl
2026-02-10,10.00,Tech & outils dev,GitHub Copilot Pro
2026-02-10,44.65,Santé & sport,Kinésithérapeute
2026-02-11,19.09,Restos & cafés,Uber Eats
2026-02-11,19.73,Santé & sport,Decathlon Tours
2026-02-11,8.00,Finance,Substack The Macro Compass
2026-02-11,5.69,Finance,Fnac livre finance
2026-02-12,20.00,Tech & outils dev,Cursor Pro
2026-02-12,66.27,Loisirs & divers,Librairie Le Livre
2026-02-13,17.26,Restos & cafés,Boulangerie Lhuillier
2026-02-13,44.69,Transport,Hertz location
2026-02-13,14.99,Loisirs & divers,Netflix Standard
2026-02-14,20.00,Tech & outils dev,Vercel Pro
2026-02-15,59.09,Logement & factures,EDF
2026-02-15,40.60,Transport,Total Énergies
2026-02-15,4.78,Finance,Trade Republic ordre
2026-02-16,63.32,Courses,Picard
2026-02-16,82.65,Courses,Carrefour Tours
2026-02-16,11.02,Restos & cafés,Café Méo
2026-02-17,6.99,Espace & astronomie,Nebula
2026-02-18,67.42,Courses,Carrefour Tours
2026-02-18,27.13,Restos & cafés,Boulangerie Lhuillier
2026-02-18,10.00,Tech & outils dev,Notion Plus
2026-02-19,6.63,Restos & cafés,Brasserie de l'Univers
2026-02-19,5.99,Espace & astronomie,Curiosity Stream
2026-02-19,70.53,Loisirs & divers,Cadeau anniv
2026-02-20,17.10,Espace & astronomie,La Maison de l'Astronomie
